followers_count,following_count,tweet_count,days_antiquity,description_length,username_digits,class
198.0,639.0,12973.0,1733.0,,8.0,0
59.0,409.0,6530.0,1731.0,6.0,0.0,0
307.0,280.0,2281.0,3927.0,73.0,0.0,0
39.0,155.0,222.0,1730.0,40.0,1.0,0
2.0,38.0,17.0,1729.0,,8.0,0
30.0,156.0,1664.0,3927.0,123.0,1.0,0
485.0,1861.0,32072.0,3927.0,115.0,4.0,0
6.0,52.0,376.0,1726.0,134.0,2.0,0
704.0,1634.0,77932.0,1726.0,114.0,0.0,0
95.0,302.0,6124.0,1725.0,31.0,1.0,0
21.0,363.0,4053.0,1724.0,142.0,0.0,0
724.0,828.0,28939.0,5010.0,44.0,0.0,0
8.0,32.0,6970.0,1723.0,,8.0,0
87.0,98.0,4468.0,1722.0,,8.0,0
10.0,40.0,182.0,1722.0,76.0,0.0,0
4.0,137.0,1394.0,1721.0,24.0,0.0,0
3.0,206.0,428.0,1720.0,53.0,2.0,0
36.0,453.0,3036.0,3926.0,,0.0,0
59.0,119.0,2700.0,1716.0,141.0,0.0,0
46.0,448.0,1085.0,1713.0,9.0,1.0,0
54.0,382.0,3358.0,1708.0,,5.0,0
241.0,650.0,31369.0,5008.0,,0.0,0
52.0,135.0,660.0,5008.0,,0.0,0
29.0,54.0,5464.0,1705.0,142.0,2.0,0
2.0,113.0,417.0,1702.0,26.0,8.0,0
461.0,368.0,11889.0,1701.0,,2.0,0
138.0,884.0,11561.0,1700.0,7.0,8.0,0
13.0,73.0,679.0,1695.0,,3.0,0
978.0,970.0,16434.0,1695.0,41.0,2.0,0
3.0,10.0,29.0,5006.0,,0.0,0
4.0,97.0,287.0,1692.0,29.0,1.0,0
119.0,214.0,16465.0,1691.0,83.0,2.0,0
145.0,1166.0,4823.0,3922.0,21.0,2.0,0
29.0,95.0,621.0,3922.0,27.0,0.0,0
56.0,403.0,1856.0,1686.0,30.0,2.0,0
13.0,43.0,2896.0,1686.0,,8.0,0
61.0,511.0,2258.0,1685.0,155.0,0.0,0
